id,Matricula,local,em_atividade,administador
1,296467,Chonghe,true,false
2,439772,Baimaqiao,true,false
3,818528,Takum,true,true
4,308379,Sumpur Kudus,true,false
5,759417,Zavoronezhskoye,false,true
6,230425,Kangdong-ŭp,false,false
7,504539,Benito Juarez,true,true
8,284193,Longsheng,true,false
9,564061,Przyborów,true,true
10,236838,Boaco,false,false
11,980088,Kangasala,false,false
12,761668,Redakodi,true,false
13,597935,Twante,true,true
14,931410,Ganxi,true,true
15,190574,Tamaki,true,true
16,730449,Kęty,true,true
17,763783,Zamora,true,false
18,645962,Topeka,true,false
19,742255,Huangdimiao,true,true
20,015992,Maszkienice,true,true
21,640272,Maykopskoye,true,true
22,062268,Nanton,true,true
23,058695,Stavropol’,true,false
24,301436,Alajuela,false,false
25,867243,Rio Covo,false,true
26,528760,Carrigtwohill,false,false
27,006939,Kecskemét,true,true
28,653877,Mirriah,true,true
29,347921,El Cantón de San Pablo,true,true
30,916982,Limbangan,true,false
31,434715,Aniso,true,true
32,035849,Lovas,false,false
33,665380,Šardice,false,true
34,475369,Yangsha,true,true
35,819885,Xiaji,true,false
36,040432,Tatarbunary,true,false
37,553776,Granada,false,false
38,339456,Suresnes,true,true
39,016293,Az Zarqā,false,false
40,025252,Huikou,false,true
41,037779,Radoboj,true,false
42,524552,Ngulahan,false,true
43,634463,Kekeri,false,true
44,637366,Mwaya,true,false
45,709500,Teryayevo,false,false
46,459865,Jönköping,true,true
47,128117,Chengcun,true,true
48,035595,Wielka Nieszawka,true,true
49,982583,Wenping,true,true
50,008098,Longshan,true,false
51,119754,Cayungnan,true,true
52,805502,Soasio,false,true
53,224090,Pingshi,false,false
54,055660,Pyatovskiy,false,false
55,192578,Grande Cache,false,false
56,559931,‘Izrā,true,true
57,944746,Arari,false,false
58,294775,Tha Luang,false,false
59,731490,Klippan,true,false
60,239521,Kafr ad Dawwār,false,true
61,758815,Jiangya,false,false
62,327486,Wuhu,false,true
63,378694,La Unión,true,false
64,746812,Hostomice,true,false
65,927484,Tajan,true,false
66,048577,Yong’an,false,true
67,761672,Beppu,true,false
68,104745,Gafsa,false,true
69,146977,Pekalongan,false,true
70,328277,Lijiaxiang,true,true
71,156884,Perico,false,false
72,026929,Mauren,false,false
73,404567,Abelheira,false,true
74,881678,Nowosielce,true,false
75,383039,Zaplavnoye,true,true
76,073209,Náfplio,true,false
77,325074,Kulary,false,true
78,401873,Los Pinos,true,true
79,104765,Jezzîne,false,false
80,011430,Toulon,true,false
81,980112,Wadungasri,false,true
82,990727,Łęki Szlacheckie,false,false
83,683882,Feitoria,false,true
84,094257,Luleå,false,true
85,476251,Niedrzwica Duża,false,true
86,914099,Qincheng,false,true
87,584284,Guanajay,true,true
88,318863,Anahuac,true,false
89,223444,Shah Alam,true,true
90,006862,Jijiang,false,true
91,649324,Lukulu,false,false
92,010767,Idenao,false,true
93,498976,Spanish Wells,false,true
94,605075,Dongtang,false,true
95,080840,Colorado Springs,false,true
96,800702,Kanshan,true,false
97,942894,Mönhbulag,true,false
98,504132,Paraíso de Chabasquén,false,true
99,463361,Louisville,true,true
100,134804,Zbraslavice,true,true
101,477292,Banjaranyar,true,false
102,396586,Miętne,true,false
103,108676,Tongjiang,true,true
104,990490,Quận Năm,true,false
105,240676,Xinshi,false,true
106,196495,Naebugis,false,true
107,834292,Businovo,false,false
108,057115,Laiyuan,false,true
109,988041,Zudun,false,false
110,368252,Maño,false,false
111,485989,Steinkjer,true,true
112,118893,Guifões,false,false
113,037075,Kuching,true,false
114,977199,Kangmei,false,false
115,213837,Jiangchuan,false,true
116,728843,Leśna Podlaska,true,false
117,206782,Skibbereen,false,false
118,897123,Šentvid pri Stični,false,false
119,976034,Pailin,false,true
120,643641,Starokorsunskaya,true,false
121,731660,Iporá,false,false
122,070262,Mitrovicë,false,true
123,093596,Jiushe,false,true
124,935882,Saint-Cloud,true,true
125,778539,Longtian,false,false
126,258340,Oslo,false,true
127,616266,Aleysk,false,true
128,601526,Hantai,false,false
129,285169,Chengjiao,true,false
130,556318,Sabaneta,false,false
131,195035,Tuamese,false,true
132,964653,Rimpakgede,false,true
133,179914,São Miguel do Guamá,true,false
134,501503,Pergamos,true,true
135,966465,Viloco,false,false
136,489886,Omemee,true,false
137,513795,Dalubian,true,true
138,664726,Dingle,false,true
139,792449,Urayasu,false,true
140,371343,Laozhuang,true,false
141,615046,Neiafu,true,false
142,112903,Etinan,false,true
143,976815,Naru,false,false
144,975486,Linpu,true,false
145,460300,Şānūr,true,false
146,900654,Dingzigu,true,false
147,242107,Wesoła,true,true
148,921383,Catamayo,false,true
149,876314,Dniprovka,true,true
150,998286,Carrières-sur-Seine,false,true
151,890954,Tonj,true,true
152,994677,Danao,true,false
153,544132,Ash Shiḩr,true,true
154,826078,Ivanec,true,false
155,090207,Kawangkoan,true,false
156,034340,Tramandaí,false,true
157,641255,Banbalah,false,false
158,239806,Rongelap,false,false
159,298140,Aparecida,true,true
160,722688,Amsterdam Binnenstad en Oostelijk Havengebied,true,false
161,218833,Xiaoguwei,true,false
162,433661,Zhinvali,true,true
163,088498,Amiens,true,true
164,440208,Delgado,false,true
165,786836,Lahar,false,false
166,918278,Lorengau,false,true
167,589078,Dushanbe,true,true
168,248311,Chama,true,true
169,630242,Victoria,false,true
170,007591,Didian,false,true
171,039720,El Galpón,false,false
172,462131,Canta,true,true
173,967328,Klang,false,true
174,078807,Alupay,true,false
175,497206,Al Jawādīyah,false,true
176,593815,San Jose,true,false
177,050479,Bagansiapiapi,false,false
178,599197,Pavino,false,false
179,754572,Itinga,false,false
180,923285,Mahates,true,true
181,429022,Liski,true,false
182,861169,Kosaya Gora,true,true
183,190300,Ebene,true,false
184,694248,Zwolle,true,false
185,903029,Liquica,false,true
186,442693,Miaoli,true,true
187,730602,Meizhuang,true,false
188,270421,Pasiragung,false,false
189,025876,Elat,true,true
190,628510,Clermont-Ferrand,false,false
191,176102,Priboj,true,false
192,671401,Sentieiras,false,true
193,949323,Magutian,false,true
194,141290,Paracatu,true,false
195,230214,Larvik,false,true
196,339551,Zahvizdya,true,false
197,941502,Kotawaikabubak,false,true
198,165255,Oleksandrivka,true,true
199,840463,Hāsilpur,false,true
200,877569,Majiao,true,false
201,594525,Bendorubuh,true,false
202,949475,Brie-Comte-Robert,true,false
203,408377,Ipameri,true,true
204,187882,Jinhua,true,true
205,074444,Idhnā,false,true
206,125593,Lubenia,false,false
207,339167,Caen,false,false
208,923864,Paris 12,false,false
209,798794,Solna,true,true
210,759454,Ludza,true,false
211,554686,Wuluo,true,true
212,185621,Shuibatang,true,false
213,048594,Cinangsih Satu,false,false
214,943268,Gucheng,true,true
215,589887,San José de Barlovento,false,true
216,296164,Kórnik,true,true
217,040783,Calidñgan,true,false
218,158453,Dumalinao,false,true
219,308073,Leijiadian,true,true
220,273002,Huanchillas,false,true
221,601335,Piraí,true,false
222,709394,Yihe,true,false
223,088155,Sung Noen,false,false
224,897780,Margasari,false,false
225,465848,Polomolok,false,true
226,982599,Ochër,false,true
227,960478,Palauig,true,false
228,330385,Lewodoli,false,true
229,093804,Kaum,true,false
230,030051,Ilhabela,false,true
231,559151,Nguékhokh,true,true
232,629866,Lençóis Paulista,false,true
233,129857,Marelesu,true,true
234,703247,København,false,false
235,632555,Wang Noi,true,false
236,996769,Timon,false,true
237,430811,Pamplona/Iruña,false,false
238,686394,Mislak,false,false
239,054167,Lichtenburg,true,false
240,620999,Triolet,true,true
241,565353,Bente,true,true
242,757641,Luofang,false,false
243,046152,Kabba,true,true
244,481453,Butwāl,false,false
245,304957,Saraktash,false,false
246,131720,Novais,true,false
247,199865,Concordia,false,false
248,052308,Sunnyvale,false,true
249,251550,Samothráki,true,false
250,585882,Tabonok,false,false
251,063643,Mirontsi,false,true
252,603011,Mangai,false,true
253,406193,Longuita,false,true
254,745070,Carcassonne,false,true
255,404640,Longgang,false,true
256,360627,Sabanagrande,false,false
257,521048,San Mateo,true,true
258,584491,Guaíra,false,false
259,096768,Kuantan,true,false
260,349793,Jiangkou,true,false
261,609363,Bambous Virieux,true,true
262,867129,Jinshan,false,false
263,907514,Nueva Guadalupe,false,false
264,320173,Beijie,true,false
265,566256,Tapayan,false,true
266,385256,Weiyang,true,true
267,824023,Sobreira,false,true
268,627174,Bateria,false,false
269,341933,Volary,true,false
270,017112,Brněnec,false,false
271,521255,Siva,false,false
272,044016,Santo Domingo,true,false
273,370298,Banjar Wates Tengah,false,false
274,122135,Polańczyk,true,false
275,267202,Santa Ana,true,true
276,303674,Vittel,false,true
277,435773,Banbalah,false,false
278,985807,Shunling,false,false
279,213404,Jicun,false,false
280,489445,Yatsuomachi-higashikumisaka,false,false
281,837591,Shanglaxiu,false,true
282,074810,Jönköping,true,false
283,318542,Bontang Baru,true,true
284,984380,Nurabelen,false,false
285,959126,Pringgoboyo,false,false
286,497843,Żórawina,true,true
287,399013,Zhengdonglu,true,true
288,846151,Bozhou,true,true
289,884934,Stráž nad Nisou,true,true
290,717189,Mirador,false,true
291,084684,Fukuyama,false,false
292,175022,Gary,false,false
293,746985,Néa Palátia,false,false
294,168554,Pamoyanan,false,true
295,089576,Horta,true,false
296,830585,Fastovetskaya,true,true
297,981186,Dar Chabanne,true,true
298,371274,Potou,true,false
299,390229,Chengxiang,false,true
300,851366,Ipoh,true,false
301,532015,Luanshya,false,false
302,725766,Keda,false,true
303,650503,Tejen,false,false
304,368025,Dorūd,true,false
305,838806,Cẩm Phả,false,false
306,939842,Ararat,true,true
307,714073,Ocucaje,true,true
308,637695,Goris,true,false
309,507781,Bánov,true,false
310,040765,Gijon,false,true
311,663411,Labo,false,false
312,089319,Changsu,false,false
313,718337,Guandu,true,true
314,555772,Bang Mun Nak,true,false
315,493658,Edsbyn,true,false
316,397057,Lushuihe,true,false
317,961421,Sumanding,false,true
318,409143,Tidaholm,true,false
319,672124,Luba,false,true
320,248019,Mari,true,false
321,988898,Casais,false,true
322,865171,Guadalupe,false,true
323,615351,Sergiyev Posad,false,true
324,468025,Landi Kotal,false,true
325,957980,El Cafetal,false,true
326,360749,Yeniugou,false,true
327,617797,Pasco,true,true
328,875296,Changting,true,true
329,459818,Wāling,true,true
330,986866,Ośno Lubuskie,false,true
331,770373,Osek nad Bečvou,false,false
332,752943,Stoszowice,false,true
333,705705,Beo,false,true
334,800366,Pho Thong,false,false
335,984323,Huangbu,false,false
336,875917,Jiangbei,false,true
337,670868,Juncalito Abajo,true,true
338,486112,Yuekou,true,true
339,375722,Yunxian Chengguanzhen,false,true
340,019947,Jasper Park Lodge,true,false
341,309185,Lavras,false,false
342,060946,Valeirinha,false,false
343,259076,Thika,false,true
344,441063,Sigaozhuang,false,true
345,032576,Chatian,false,true
346,373218,Girsereng,false,false
347,831008,Malakwal City,true,false
348,901770,Tajerouine,true,false
349,186200,Kobyzhcha,true,false
350,859371,Arıqıran,true,true
351,003063,Consolación del Sur,false,true
352,328014,Ōzu,true,false
353,229300,Toulon,false,false
354,688778,Kendari,false,true
355,135728,Domaradz,false,true
356,261199,Preobrazheniye,false,false
357,111283,Nsok,false,false
358,474623,Sovetskoye,false,true
359,972490,Gizo,true,true
360,342498,Pindamonhangaba,true,true
361,532373,Niort,false,false
362,648913,Arujá,false,false
363,131874,Banquero,true,false
364,514756,Staré Město,false,true
365,380150,Brwinów,false,true
366,280276,Manggekompo,false,true
367,698833,Busia,false,true
